negative_words,positive_words
faced,abound
faces,abounds
abnormal,abundance
abolish,abundant
abominable,accessable
abominably,accessible
abominate,acclaim
abomination,acclaimed
abort,acclamation
aborted,accolade
aborts,accolades
abrade,accommodative
abrasive,accomodative
abrupt,accomplish
abruptly,accomplished
abscond,accomplishment
absence,accomplishments
absent-minded,accurate
absentee,accurately
absurd,achievable
absurdity,achievement
absurdly,achievements
absurdness,achievible
abuse,acumen
abused,adaptable
abuses,adaptive
abusive,adequate
abysmal,adjustable
abysmally,admirable
abyss,admirably
accidental,admiration
accost,admire
accursed,admirer
accusation,admiring
accusations,admiringly
accuse,adorable
accuses,adore
accusing,adored
accusingly,adorer
acerbate,adoring
acerbic,adoringly
acerbically,adroit
ache,adroitly
ached,adulate
aches,adulation
achey,adulatory
aching,advanced
acrid,advantage
acridly,advantageous
acridness,advantageously
acrimonious,advantages
acrimoniously,adventuresome
acrimony,adventurous
adamant,advocate
adamantly,advocated
addict,advocates
addicted,affability
addicting,affable
addicts,affably
admonish,affectation
admonisher,affection
admonishingly,affectionate
admonishment,affinity
admonition,affirm
adulterate,affirmation
adulterated,affirmative
adulteration,affluence
adulterier,affluent
adversarial,afford
adversary,affordable
adverse,affordably
adversity,afordable
afflict,agile
affliction,agilely
afflictive,agility
affront,agreeable
afraid,agreeableness
aggravate,agreeably
aggravating,all-around
aggravation,alluring
aggression,alluringly
aggressive,altruistic
aggressiveness,altruistically
aggressor,amaze
aggrieve,amazed
aggrieved,amazement
aggrivation,amazes
aghast,amazing
agonies,amazingly
agonize,ambitious
agonizing,ambitiously
agonizingly,ameliorate
agony,amenable
aground,amenity
ail,amiability
ailing,amiabily
ailment,amiable
aimless,amicability
alarm,amicable
alarmed,amicably
alarming,amity
alarmingly,ample
alienate,amply
alienated,amuse
alienation,amusing
allegation,amusingly
allegations,angel
allege,angelic
allergic,apotheosis
allergies,appeal
allergy,appealing
aloof,applaud
altercation,appreciable
ambiguity,appreciate
ambiguous,appreciated
ambivalence,appreciates
ambivalent,appreciative
ambush,appreciatively
amiss,appropriate
amputate,approval
anarchism,approve
anarchist,ardent
anarchistic,ardently
anarchy,ardor
anemic,articulate
anger,aspiration
angrily,aspirations
angriness,aspire
angry,assurance
anguish,assurances
animosity,assure
annihilate,assuredly
annihilation,assuring
annoy,astonish
annoyance,astonished
annoyances,astonishing
annoyed,astonishingly
annoying,astonishment
annoyingly,astound
annoys,astounded
anomalous,astounding
anomaly,astoundingly
antagonism,astutely
antagonist,attentive
antagonistic,attraction
antagonize,attractive
anti-,attractively
anti-american,attune
anti-israeli,audible
anti-occupation,audibly
anti-proliferation,auspicious
anti-semites,authentic
anti-social,authoritative
anti-us,autonomous
anti-white,available
antipathy,aver
antiquated,avid
antithetical,avidly
anxieties,award
anxiety,awarded
anxious,awards
anxiously,awe
anxiousness,awed
apathetic,awesome
apathetically,awesomely
apathy,awesomeness
apocalypse,awestruck
apocalyptic,awsome
apologist,backbone
apologists,balanced
appal,bargain
appall,beauteous
appalled,beautiful
appalling,beautifullly
appallingly,beautifully
apprehension,beautify
apprehensions,beauty
apprehensive,beckon
apprehensively,beckoned
arbitrary,beckoning
arcane,beckons
archaic,believable
arduous,believeable
arduously,beloved
argumentative,benefactor
arrogance,beneficent
arrogant,beneficial
arrogantly,beneficially
ashamed,beneficiary
asinine,benefit
asininely,benefits
asinininity,benevolence
askance,benevolent
asperse,benifits
aspersion,best
aspersions,best-known
assail,best-performing
assassin,best-selling
assassinate,better
assault,better-known
assult,better-than-expected
astray,beutifully
asunder,blameless
atrocious,bless
atrocities,blessing
atrocity,bliss
atrophy,blissful
attack,blissfully
attacks,blithe
audacious,blockbuster
audaciously,bloom
audaciousness,blossom
audacity,bolster
audiciously,bonny
austere,bonus
authoritarian,bonuses
autocrat,boom
autocratic,booming
avalanche,boost
avarice,boundless
avaricious,bountiful
avariciously,brainiest
avenge,brainy
averse,brand-new
aversion,brave
aweful,bravery
awful,bravo
awfully,breakthrough
awfulness,breakthroughs
awkward,breathlessness
awkwardness,breathtaking
ax,breathtakingly
babble,breeze
back-logged,bright
back-wood,brighten
back-woods,brighter
backache,brightest
backaches,brilliance
backaching,brilliances
backbite,brilliant
backbiting,brilliantly
backward,brisk
backwardness,brotherly
backwood,bullish
backwoods,buoyant
bad,cajole
badly,calm
baffle,calming
baffled,calmness
bafflement,capability
baffling,capable
bait,capably
balk,captivate
banal,captivating
banalize,carefree
bane,cashback
banish,cashbacks
banishment,catchy
bankrupt,celebrate
barbarian,celebrated
barbaric,celebration
barbarically,celebratory
barbarity,champ
barbarous,champion
barbarously,charisma
barren,charismatic
baseless,charitable
bash,charm
bashed,charming
bashful,charmingly
bashing,chaste
bastard,cheaper
bastards,cheapest
battered,cheer
battering,cheerful
batty,cheery
bearish,cherish
beastly,cherished
bedlam,cherub
bedlamite,chic
befoul,chivalrous
beg,chivalry
beggar,civility
beggarly,civilize
begging,clarity
beguile,classic
belabor,classy
belated,clean
beleaguer,cleaner
belie,cleanest
belittle,cleanliness
belittled,cleanly
belittling,clear
bellicose,clear-cut
belligerence,cleared
belligerent,clearer
belligerently,clearly
bemoan,clears
bemoaning,clever
bemused,cleverly
bent,cohere
berate,coherence
bereave,coherent
bereavement,cohesive
bereft,colorful
berserk,comely
beseech,comfort
beset,comfortable
besiege,comfortably
besmirch,comforting
bestial,comfy
betray,commend
betrayal,commendable
betrayals,commendably
betrayer,commitment
betraying,commodious
betrays,compact
bewail,compactly
beware,compassion
bewilder,compassionate
bewildered,compatible
bewildering,competitive
bewilderingly,complement
bewilderment,complementary
bewitch,complemented
bias,complements
biased,compliant
biases,compliment
bicker,complimentary
bickering,comprehensive
bid-rigging,conciliate
bigotries,conciliatory
bigotry,concise
bitch,confidence
bitchy,confident
biting,congenial
bitingly,congratulate
bitter,congratulation
bitterly,congratulations
bitterness,congratulatory
bizarre,conscientious
blab,considerate
blabber,consistent
blackmail,consistently
blah,constructive
blame,consummate
blameworthy,contentment
bland,continuity
blandish,contrasty
blaspheme,contribution
blasphemous,convenience
blasphemy,convenient
blasted,conveniently
blatant,convience
blatantly,convienient
blather,convient
bleak,convincing
bleakly,convincingly
bleakness,cool
bleed,coolest
bleeding,cooperative
bleeds,cooperatively
blemish,cornerstone
blind,correct
blinding,correctly
blindingly,cost-effective
blindside,cost-saving
blister,counter-attack
blistering,counter-attacks
bloated,courage
blockage,courageous
blockhead,courageously
bloodshed,courageousness
bloodthirsty,courteous
bloody,courtly
blotchy,covenant
blow,cozy
blunder,creative
blundering,credence
blunders,credible
blunt,crisp
blur,crisper
bluring,cure
blurred,cure-all
blurring,cushy
blurry,cute
blurs,cuteness
blurt,danke
boastful,danken
boggle,daring
bogus,daringly
boil,darling
boiling,dashing
boisterous,dauntless
bomb,dawn
bombard,dazzle
bombardment,dazzled
bombastic,dazzling
bondage,dead-cheap
bonkers,dead-on
bore,decency
bored,decent
boredom,decisive
bores,decisiveness
boring,dedicated
botch,defeat
bother,defeated
bothered,defeating
bothering,defeats
bothers,defender
bothersome,deference
bowdlerize,deft
boycott,deginified
braggart,delectable
bragger,delicacy
brainless,delicate
brainwash,delicious
brash,delight
brashly,delighted
brashness,delightful
brat,delightfully
bravado,delightfulness
brazen,dependable
brazenly,dependably
brazenness,deservedly
breach,deserving
break,desirable
break-up,desiring
break-ups,desirous
breakdown,destiny
breaking,detachable
breaks,devout
breakup,dexterous
breakups,dexterously
bribery,dextrous
brimstone,dignified
bristle,dignify
brittle,dignity
broke,diligence
broken,diligent
broken-hearted,diligently
brood,diplomatic
browbeat,dirt-cheap
bruise,distinction
bruised,distinctive
bruises,distinguished
bruising,diversified
brusque,divine
brutal,divinely
brutalising,dominate
brutalities,dominated
brutality,dominates
brutalize,dote
brutalizing,dotingly
brutally,doubtless
brute,dreamland
brutish,dumbfounded
bs,dumbfounding
buckle,dummy-proof
bug,durable
bugging,dynamic
buggy,eager
bugs,eagerly
bulkier,eagerness
bulkiness,earnest
bulky,earnestly
bulkyness,earnestness
bull****,ease
bull----,eased
bullies,eases
bullshit,easier
bullshyt,easiest
bully,easiness
bullying,easing
bullyingly,easy
bum,easy-to-use
bump,easygoing
bumped,ebullience
bumping,ebullient
bumpping,ebulliently
bumps,ecenomical
bumpy,economical
bungle,ecstasies
bungler,ecstasy
bungling,ecstatic
bunk,ecstatically
burden,edify
burdensome,educated
burdensomely,effective
burn,effectively
burned,effectiveness
burning,effectual
burns,efficacious
bust,efficient
busts,efficiently
busybody,effortless
butcher,effortlessly
butchery,effusion
buzzing,effusive
byzantine,effusively
cackle,effusiveness
calamities,elan
calamitous,elate
calamitously,elated
calamity,elatedly
callous,elation
calumniate,electrify
calumniation,elegance
calumnies,elegant
calumnious,elegantly
calumniously,elevate
calumny,elite
cancer,eloquence
cancerous,eloquent
cannibal,eloquently
cannibalize,embolden
capitulate,eminence
capricious,eminent
capriciously,empathize
capriciousness,empathy
capsize,empower
careless,empowerment
carelessness,enchant
caricature,enchanted
carnage,enchanting
carp,enchantingly
cartoonish,encourage
cash-strapped,encouragement
castigate,encouraging
castrated,encouragingly
casualty,endear
cataclysm,endearing
cataclysmal,endorse
cataclysmic,endorsed
cataclysmically,endorsement
catastrophe,endorses
catastrophes,endorsing
catastrophic,energetic
catastrophically,energize
catastrophies,energy-efficient
caustic,energy-saving
caustically,engaging
cautionary,engrossing
cave,enhance
censure,enhanced
chafe,enhancement
chaff,enhances
chagrin,enjoy
challenging,enjoyable
chaos,enjoyably
chaotic,enjoyed
chasten,enjoying
chastise,enjoyment
chastisement,enjoys
chatter,enlighten
chatterbox,enlightenment
cheap,enliven
cheapen,ennoble
cheaply,enough
cheat,enrapt
cheated,enrapture
cheater,enraptured
cheating,enrich
cheats,enrichment
checkered,enterprising
cheerless,entertain
cheesy,entertaining
chide,entertains
childish,enthral
chill,enthrall
chilly,enthralled
chintzy,enthuse
choke,enthusiasm
choleric,enthusiast
choppy,enthusiastic
chore,enthusiastically
chronic,entice
chunky,enticed
clamor,enticing
clamorous,enticingly
clash,entranced
cliche,entrancing
cliched,entrust
clique,enviable
clog,enviably
clogged,envious
clogs,enviously
cloud,enviousness
clouding,envy
cloudy,equitable
clueless,ergonomical
clumsy,err-free
clunky,erudite
coarse,ethical
cocky,eulogize
coerce,euphoria
coercion,euphoric
coercive,euphorically
cold,evaluative
coldly,evenly
collapse,eventful
collude,everlasting
collusion,evocative
combative,exalt
combust,exaltation
comical,exalted
commiserate,exaltedly
commonplace,exalting
commotion,exaltingly
commotions,examplar
complacent,examplary
complain,excallent
complained,exceed
complaining,exceeded
complains,exceeding
complaint,exceedingly
complaints,exceeds
complex,excel
complicated,exceled
complication,excelent
complicit,excellant
compulsion,excelled
compulsive,excellence
concede,excellency
conceded,excellent
conceit,excellently
conceited,excels
concen,exceptional
concens,exceptionally
concern,excite
concerned,excited
concerns,excitedly
concession,excitedness
concessions,excitement
condemn,excites
condemnable,exciting
condemnation,excitingly
condemned,exellent
condemns,exemplar
condescend,exemplary
condescending,exhilarate
condescendingly,exhilarating
condescension,exhilaratingly
confess,exhilaration
confession,exonerate
confessions,expansive
confined,expeditiously
conflict,expertly
conflicted,exquisite
conflicting,exquisitely
conflicts,extol
confound,extoll
confounded,extraordinarily
confounding,extraordinary
confront,exuberance
confrontation,exuberant
confrontational,exuberantly
confuse,exult
confused,exultant
confuses,exultation
confusing,exultingly
confusion,eye-catch
confusions,eye-catching
congested,eyecatch
congestion,eyecatching
cons,fabulous
conscons,fabulously
conservative,facilitate
conspicuous,fair
conspicuously,fairly
conspiracies,fairness
conspiracy,faith
conspirator,faithful
conspiratorial,faithfully
conspire,faithfulness
consternation,fame
contagious,famed
contaminate,famous
contaminated,famously
contaminates,fancier
contaminating,fancinating
contamination,fancy
contempt,fanfare
contemptible,fans
contemptuous,fantastic
contemptuously,fantastically
contend,fascinate
contention,fascinating
